,model_name,r
0,ElasticNet(random_state=152),0.20363691220346414
0,ElasticNet(random_state=152),0.1768265586559668
0,ElasticNet(random_state=152),0.17730566806995235
0,ElasticNet(random_state=152),0.1867185602161324
0,ElasticNet(random_state=152),0.1801752811592623
0,ElasticNet(random_state=152),0.13895943681291978
0,ElasticNet(random_state=152),0.13437844057583453
0,ElasticNet(random_state=152),0.12466037035831401
0,ElasticNet(random_state=152),0.19957051594375652
0,ElasticNet(random_state=152),0.22150333823127233
0,ElasticNet(random_state=152),0.17102749456353375
0,ElasticNet(random_state=152),0.15696895696256435
0,ElasticNet(random_state=152),0.20115107399693016
0,ElasticNet(random_state=152),0.16708791120961997
0,ElasticNet(random_state=152),0.12314695004431352
0,ElasticNet(random_state=152),0.1356859497576925
0,ElasticNet(random_state=152),0.20637515240135146
0,ElasticNet(random_state=152),0.1981053433447247
0,ElasticNet(random_state=152),0.1240872176635595
0,ElasticNet(random_state=152),0.1529543693544693
0,ElasticNet(random_state=152),0.1952842318130086
0,ElasticNet(random_state=152),0.2003469044705249
0,ElasticNet(random_state=152),0.15985001743007793
0,ElasticNet(random_state=152),0.1853432485765849
0,ElasticNet(random_state=152),0.17964429007192534
0,ElasticNet(random_state=152),0.15178111636744804
0,ElasticNet(random_state=152),0.17923450864702045
0,ElasticNet(random_state=152),0.15980639941710634
0,ElasticNet(random_state=152),0.15441931010833243
0,ElasticNet(random_state=152),0.1758751284841187
0,ElasticNet(random_state=152),0.17951951850998626
0,ElasticNet(random_state=152),0.16908350405754002
0,ElasticNet(random_state=152),0.19930980428344436
0,ElasticNet(random_state=152),0.1736506121414801
0,ElasticNet(random_state=152),0.18480872231326945
0,ElasticNet(random_state=152),0.14901498527165402
0,ElasticNet(random_state=152),0.19323616897630905
0,ElasticNet(random_state=152),0.16038987546706976
0,ElasticNet(random_state=152),0.14583645304918869
0,ElasticNet(random_state=152),0.15037221104256995
0,ElasticNet(random_state=152),0.15114600986442703
0,ElasticNet(random_state=152),0.15271708986139948
0,ElasticNet(random_state=152),0.19552848597104378
0,ElasticNet(random_state=152),0.12629602371675352
0,ElasticNet(random_state=152),0.2013508474734289
0,ElasticNet(random_state=152),0.1869764510196434
0,ElasticNet(random_state=152),0.2177397909573294
0,ElasticNet(random_state=152),0.19583735959182785
0,ElasticNet(random_state=152),0.09114063659747298
0,ElasticNet(random_state=152),0.1706876027561392
