,construct,model_name,r
0,C_Scale_score,ElasticNet(),0.12816004165699532
0,C_Scale_score,ElasticNet(),0.0865618864674982
0,C_Scale_score,ElasticNet(),0.1654871531433597
0,C_Scale_score,ElasticNet(),0.11176764059293945
0,C_Scale_score,ElasticNet(),0.10472957230590339
0,C_Scale_score,ElasticNet(),0.12861753522844227
0,C_Scale_score,ElasticNet(),0.13397261891260015
0,C_Scale_score,ElasticNet(),0.10249416831785634
0,C_Scale_score,ElasticNet(),0.15264205549637938
0,C_Scale_score,ElasticNet(),0.13028450204826583
0,C_Scale_score,ElasticNet(),0.16788297477671693
0,C_Scale_score,ElasticNet(),0.06469330269675679
0,C_Scale_score,ElasticNet(),0.12041366992008454
0,C_Scale_score,ElasticNet(),0.12369258797187685
0,C_Scale_score,ElasticNet(),0.17281565487039763
0,C_Scale_score,ElasticNet(),0.09107023217937368
0,C_Scale_score,ElasticNet(),0.11484374940331747
0,C_Scale_score,ElasticNet(),0.10857204766100546
0,C_Scale_score,ElasticNet(),0.16185733696557264
0,C_Scale_score,ElasticNet(),0.1356671907599299
0,C_Scale_score,ElasticNet(),0.08128335598117614
0,C_Scale_score,ElasticNet(),0.16199457111997057
0,C_Scale_score,ElasticNet(),0.1654516078775274
0,C_Scale_score,ElasticNet(),0.13047240180166358
0,C_Scale_score,ElasticNet(),0.13260892778988745
0,C_Scale_score,ElasticNet(),0.10892517123752382
0,C_Scale_score,ElasticNet(),0.11862745118617278
0,C_Scale_score,ElasticNet(),0.09647162012825716
0,C_Scale_score,ElasticNet(),0.11659736710089895
0,C_Scale_score,ElasticNet(),0.05101341490963822
0,C_Scale_score,ElasticNet(),0.0711795383727159
0,C_Scale_score,ElasticNet(),0.06771531064039649
0,N_Scale_score,ElasticNet(),0.17881517063193875
0,N_Scale_score,ElasticNet(),0.17773944696634952
0,N_Scale_score,ElasticNet(),0.1435006686726456
0,N_Scale_score,ElasticNet(),0.1955145087198753
0,N_Scale_score,ElasticNet(),0.1445110107651819
0,N_Scale_score,ElasticNet(),0.11880110502993012
0,N_Scale_score,ElasticNet(),0.20176961248831693
0,N_Scale_score,ElasticNet(),0.155183758288737
0,N_Scale_score,ElasticNet(),0.19038060768782736
0,N_Scale_score,ElasticNet(),0.1572109539558824
0,N_Scale_score,ElasticNet(),0.23059543883430633
0,N_Scale_score,ElasticNet(),0.11300764440730417
0,N_Scale_score,ElasticNet(),0.13299900107873208
0,N_Scale_score,ElasticNet(),0.2423729990384833
0,N_Scale_score,ElasticNet(),0.16286980775435633
0,N_Scale_score,ElasticNet(),0.1665714709291164
0,N_Scale_score,ElasticNet(),0.17606120617427362
0,N_Scale_score,ElasticNet(),0.21236007988488026
0,N_Scale_score,ElasticNet(),0.12829247263621854
0,N_Scale_score,ElasticNet(),0.14026179369097228
0,N_Scale_score,ElasticNet(),0.1568252369254546
0,N_Scale_score,ElasticNet(),0.1837304813503208
0,N_Scale_score,ElasticNet(),0.17598951126432896
0,N_Scale_score,ElasticNet(),0.10512734851356477
0,N_Scale_score,ElasticNet(),0.18164748930610025
0,N_Scale_score,ElasticNet(),0.14604954798741185
0,N_Scale_score,ElasticNet(),0.15096393391685775
0,N_Scale_score,ElasticNet(),0.20652840061645436
0,N_Scale_score,ElasticNet(),0.15890557048133308
0,N_Scale_score,ElasticNet(),0.15563710509140008
0,N_Scale_score,ElasticNet(),0.19215429597045613
0,N_Scale_score,ElasticNet(),0.23683430139019884
0,N_Scale_score,ElasticNet(),0.16429299916347306
0,N_Scale_score,ElasticNet(),0.18442348858247828
0,N_Scale_score,ElasticNet(),0.18787180926894118
0,N_Scale_score,ElasticNet(),0.1484255337495809
0,N_Scale_score,ElasticNet(),0.1879596133790458
0,N_Scale_score,ElasticNet(),0.1599384924265962
0,N_Scale_score,ElasticNet(),0.14256691146369035
0,N_Scale_score,ElasticNet(),0.2080029786759597
0,N_Scale_score,ElasticNet(),0.15474692634734055
0,N_Scale_score,ElasticNet(),0.14698016318212426
0,N_Scale_score,ElasticNet(),0.22843059088565582
0,N_Scale_score,ElasticNet(),0.06690909829627173
0,N_Scale_score,ElasticNet(),0.1485427191258528
0,N_Scale_score,ElasticNet(),0.16031176348880924
0,N_Scale_score,ElasticNet(),0.1383561745754952
0,N_Scale_score,ElasticNet(),0.18860980955734158
0,N_Scale_score,ElasticNet(),0.12815163002517865
0,N_Scale_score,ElasticNet(),0.12293937025099559
