method,r,ci_low,ci_high,ci_error_low,ci_error_high
bow,0.13728377622772117,0.024399999999999998,0.24719999999999998,0.11288377622772117,0.1099162237722788
empath,0.09328327349889795,-0.0204,0.20440000000000003,0.11368327349889795,0.11111672650110208
ensemble,0.21412814875870015,0.10439999999999999,0.3188,0.10972814875870016,0.10467185124129982
lstm,0.02419691599506418,-0.09,0.13799999999999998,0.11419691599506418,0.1138030840049358
transformer,0.20226525441488005,0.0917142857142857,0.30914285714285716,0.11055096870059435,0.10687760272797711
